gstID,startTime_GST,CME_ActivityID,cmeID,startTime_CME,GST_ActivityID,timeDiff
2013-06-07T03:00:00-GST-001,2013-06-07 03:00:00+00:00,2013-06-02T20:24:00-CME-001,2013-06-02T20:24:00-CME-001,2013-06-02 20:24:00+00:00,2013-06-07T03:00:00-GST-001,4 days 06:36:00
2013-10-02T03:00:00-GST-001,2013-10-02 03:00:00+00:00,2013-09-29T22:40:00-CME-001,2013-09-29T22:40:00-CME-001,2013-09-29 22:40:00+00:00,2013-10-02T03:00:00-GST-001,2 days 04:20:00
2013-12-08T00:00:00-GST-001,2013-12-08 00:00:00+00:00,2013-12-04T23:12:00-CME-001,2013-12-04T23:12:00-CME-001,2013-12-04 23:12:00+00:00,2013-12-08T00:00:00-GST-001,3 days 00:48:00
2014-02-19T03:00:00-GST-001,2014-02-19 03:00:00+00:00,2014-02-16T14:15:00-CME-001,2014-02-16T14:15:00-CME-001,2014-02-16 14:15:00+00:00,2014-02-19T03:00:00-GST-001,2 days 12:45:00
2014-02-20T03:00:00-GST-001,2014-02-20 03:00:00+00:00,2014-02-18T01:25:00-CME-001,2014-02-18T01:25:00-CME-001,2014-02-18 01:25:00+00:00,2014-02-20T03:00:00-GST-001,2 days 01:35:00
2014-02-27T18:00:00-GST-001,2014-02-27 18:00:00+00:00,2014-02-25T01:25:00-CME-001,2014-02-25T01:25:00-CME-001,2014-02-25 01:25:00+00:00,2014-02-27T18:00:00-GST-001,2 days 16:35:00
2014-06-08T03:00:00-GST-001,2014-06-08 03:00:00+00:00,2014-06-04T13:25:00-CME-001,2014-06-04T13:25:00-CME-001,2014-06-04 13:25:00+00:00,2014-06-08T03:00:00-GST-001,3 days 13:35:00
2014-08-19T21:00:00-GST-001,2014-08-19 21:00:00+00:00,2014-08-15T21:12:00-CME-001,2014-08-15T21:12:00-CME-001,2014-08-15 21:12:00+00:00,2014-08-19T21:00:00-GST-001,3 days 23:48:00
2014-09-12T15:00:00-GST-001,2014-09-12 15:00:00+00:00,2014-09-10T18:18:00-CME-001,2014-09-10T18:18:00-CME-001,2014-09-10 18:18:00+00:00,2014-09-12T15:00:00-GST-001,1 days 20:42:00
2015-03-17T06:00:00-GST-001,2015-03-17 06:00:00+00:00,2015-03-15T02:00:00-CME-001,2015-03-15T02:00:00-CME-001,2015-03-15 02:00:00+00:00,2015-03-17T06:00:00-GST-001,2 days 04:00:00
